zip,CON,DEM,GRE,IND,LIB,REP,UNK,total
2176,0.0,0.0,0.0,0.0,0.0,250.0,0.0,250.0
11209,0.0,49.0,0.0,0.0,0.0,0.0,0.0,49.0
19093,0.0,0.0,0.0,0.0,0.0,250.0,0.0,250.0
20122,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0
30097,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
37032,0.0,5400.0,0.0,0.0,0.0,0.0,0.0,5400.0
38756,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0
39202,0.0,0.0,0.0,0.0,0.0,250.0,0.0,250.0
48001,0.0,6591.0,0.0,0.0,0.0,790.0,0.0,7381.0
48002,0.0,0.0,0.0,0.0,0.0,683.0,0.0,683.0
48003,0.0,797.0,0.0,0.0,0.0,2024.0,0.0,2821.0
48005,0.0,398.0,0.0,0.0,0.0,350.0,0.0,748.0
48006,0.0,676.0,0.0,0.0,0.0,3617.0,0.0,4293.0
48009,0.0,178547.0,610.0,0.0,240.0,237310.0,500.0,417207.0
48012,0.0,3511.0,0.0,0.0,228.0,1500.0,0.0,5239.0
48014,0.0,752.0,0.0,0.0,0.0,0.0,0.0,752.0
48015,0.0,1376.0,0.0,0.0,0.0,0.0,0.0,1376.0
48017,0.0,6983.0,0.0,0.0,0.0,13362.0,0.0,20345.0
48021,0.0,4068.0,0.0,0.0,435.0,5332.0,0.0,9835.0
48022,0.0,428.0,0.0,0.0,0.0,25.0,0.0,453.0
48023,0.0,250.0,0.0,0.0,0.0,2300.0,0.0,2550.0
48025,0.0,109034.0,300.0,2700.0,750.0,90136.0,100.0,203020.0
48026,0.0,5323.0,0.0,0.0,0.0,7939.0,0.0,13262.0
48027,0.0,243.0,0.0,0.0,0.0,1416.0,0.0,1659.0
48028,0.0,238.0,0.0,0.0,0.0,820.0,0.0,1058.0
48030,0.0,2489.0,0.0,0.0,0.0,401.0,0.0,2890.0
48033,0.0,6384.0,0.0,0.0,0.0,3357.0,0.0,9741.0
48034,0.0,22036.0,0.0,0.0,0.0,23545.0,0.0,45581.0
48035,0.0,3177.0,0.0,0.0,0.0,2607.0,0.0,5784.0
48036,0.0,4592.0,0.0,0.0,0.0,6049.0,0.0,10641.0
48037,0.0,482.0,0.0,0.0,0.0,0.0,0.0,482.0
48038,0.0,11277.0,0.0,0.0,100.0,7372.0,0.0,18749.0
48039,0.0,721.0,0.0,0.0,0.0,2850.0,0.0,3571.0
48040,0.0,600.0,0.0,0.0,0.0,2766.0,0.0,3366.0
48041,0.0,0.0,0.0,0.0,0.0,1310.0,0.0,1310.0
48042,0.0,9879.0,535.0,0.0,0.0,3150.0,0.0,13564.0
48043,0.0,2553.0,158.0,0.0,0.0,1320.0,0.0,4031.0
48044,0.0,7522.0,250.0,0.0,0.0,9699.0,0.0,17471.0
48045,0.0,5148.0,0.0,0.0,560.0,13177.0,0.0,18885.0
48047,0.0,10734.0,0.0,0.0,30.0,15759.0,0.0,26523.0
48048,0.0,103.0,0.0,0.0,0.0,1610.0,0.0,1713.0
48049,0.0,0.0,0.0,0.0,0.0,3305.0,0.0,3305.0
48050,0.0,20.0,0.0,0.0,0.0,225.0,0.0,245.0
48051,0.0,1105.0,0.0,0.0,0.0,2303.0,0.0,3408.0
48054,0.0,960.0,0.0,0.0,0.0,3493.0,0.0,4453.0
48059,0.0,2339.0,0.0,0.0,0.0,10169.0,0.0,12508.0
48060,0.0,7728.0,0.0,0.0,0.0,4760.0,0.0,12488.0
48061,0.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0
